Nombre,Numero,Pais,Puntos,Posicion,Pareja,Anyo_nacimiento,Altura,Nacido en,Vive en,Partidos jugados,Partidos ganados,Partidos perdidos,Victorias consecutivas,Efectividad,Titulos,Foto jugador
Arturo Coello,1,ESP,16203.0,Right,Agustin Tapia,08/03/2002,1.9,Valladolid,--,141,126,15,30,89.4%,16,https://www.padelfip.com/wp-content/uploads/2023/02/01-COELLO-662x1024.png
Agustin Tapia,2,ARG,15823.0,Left,Arturo Coello,24/07/1999,1.79,Catamarca,--,124,113,11,30,91.1%,15,https://www.padelfip.com/wp-content/uploads/2023/02/04-TAPIA-2-662x1024.png
Alejandro Galan,3,ESP,12848.0,Left,Federico Chingotto,15/05/1996,1.86,Madrid,Madrid,138,118,20,17,85.5%,11,https://www.padelfip.com/wp-content/uploads/2023/02/02-GALAN-662x1024.png
Federico Chingotto,4,ARG,11257.0,Right,Alejandro Galan,13/04/1997,1.7,Buenos aires,--,130,104,26,10,80.0%,5,https://www.padelfip.com/wp-content/uploads/2023/02/08-CHINGOTTO-662x1024.png
Martin Di Nenno,5,ARG,7678.0,Right,Juan Lebron,18/03/1997,1.75,Ezeiza,Madrid,123,94,29,9,76.4%,3,https://www.padelfip.com/wp-content/uploads/2023/02/05-DI-NENNO-662x1024.png
Juan Lebron,6,ESP,7663.0,Right,Martin Di Nenno,31/01/1995,1.84,Puerto de Santa María,Madrid,124,98,26,17,79.0%,7,https://www.padelfip.com/wp-content/uploads/2023/02/2-Lebron-662x1024.png
Franco Stupaczuk,7,ARG,7578.0,Left,Miguel Yanguas,25/03/1996,1.8,Chaco,--,125,97,28,11,77.6%,4,https://www.padelfip.com/wp-content/uploads/2023/02/06-STUPACZUK-3-662x1024.png
Miguel Yanguas,8,ESP,5667.0,Right,Franco Stupaczuk,18/03/2002,1.89,Málaga,--,97,68,29,5,70.1%,1,https://www.padelfip.com/wp-content/uploads/2023/02/13-YANGUAS-662x1024.png
Francisco Navarro,9,ESP,5636.0,Left,Pablo Cardona,10/02/1989,1.81,Sevilla,--,113,82,31,9,72.6%,1,https://www.padelfip.com/wp-content/uploads/2023/02/Francisco-Navarro_2-1.png
Javier Garrido,10,ESP,4514.0,Left,Lucas Bergamini,26/10/2000,1.84,Córdoba ,--,85,57,28,5,67.1%,0,https://www.padelfip.com/wp-content/uploads/2023/02/15-GARRIDO-2-662x1024.png
Jeronimo Gonzalez,11,ESP,4213.0,Left,Eduardo Alonso,21/02/1997,1.8,Antequera,--,99,65,34,4,65.7%,0,https://www.padelfip.com/wp-content/uploads/2023/02/14-GONZALEZ-1-662x1024.png
Jorge Nieto,12,ESP,3999.0,Left,Jon Sanz,18/12/1998,1.75,Madrid,--,93,62,31,5,66.7%,1,https://www.padelfip.com/wp-content/uploads/2023/02/17-NIETTO-662x1024.png
Jon Sanz,13,ESP,3929.0,Right,Jorge Nieto,25/09/2000,1.75,Pamplona,--,93,62,31,5,66.7%,1,https://www.padelfip.com/wp-content/uploads/2023/02/22-SANZ-662x1024.png
Eduardo Alonso,14,ESP,3336.0,Right,Jeronimo Gonzalez,08/01/2001,1.8,Valencia,--,74,41,33,3,55.4%,0,https://www.padelfip.com/wp-content/uploads/2023/02/31-Eduardo-Alonso-1-662x1024.png
Carlos Daniel Gutierrez,15,ARG,2951.0,Right,Jose Antonio Diestro,15/06/1984,1.77,San Luis,--,73,42,31,5,57.5%,0,https://www.padelfip.com/wp-content/uploads/2023/02/11-GUTIERREZ-662x1024.png
Alejandro Ruiz,16,ESP,2914.0,Right,Alejandro Arroyo,12/06/1994,1.87,Málaga,--,87,55,32,4,63.2%,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-RUIZ-662x1024.png
Fernando Belasteguin,17,ARG,2746.0,Left,Valentino Gabriel Libaak,19/05/1979,1.8,Pehuajo,--,86,56,30,9,65.1%,1,https://www.padelfip.com/wp-content/uploads/2023/02/09-BELASTEGUIN-662x1024.png
Lucas Bergamini,18,BRA,2715.0,Right,Javier Garrido,18/08/1997,1.65,Bento Gonçalves,--,84,52,32,4,61.9%,0,https://www.padelfip.com/wp-content/uploads/2023/02/19-BERGAMINI-3-662x1024.png
Pablo Cardona,19,ESP,2602.0,Right,Francisco Navarro,03/11/2004,1.88,Mérida,--,74,42,32,3,56.8%,0,https://www.padelfip.com/wp-content/uploads/2023/02/38-Pablo-Cardona-662x1024.png
Alejandro Arroyo,20,ESP,2593.0,Left,Alejandro Ruiz,25/10/2001,1.88,Valencia,--,77,44,33,3,57.1%,0,https://www.padelfip.com/wp-content/uploads/2023/02/23-Arroyo-2-662x1024.png
