Nombre,Numero,Pais,Puntos,Posicion,Pareja,Anyo_nacimiento,Altura,Nacido en,Vive en,Partidos jugados,Partidos ganados,Partidos perdidos,Victorias consecutivas,Efectividad,Titulos,Foto jugador
Ariana Sanchez Fallada,1,ESP,14521.0,Left,Paula Josemaria Martin,19/07/1997,1.65,Reus,--,85,74,11,11,87.1%,9,https://www.padelfip.com/wp-content/uploads/2023/02/01-Ari-Sanchez-662x1024.png
Paula Josemaria Martin,1,ESP,14521.0,Right,Ariana Sanchez Fallada,31/10/1996,1.6,Moraleja,--,85,74,11,11,87.1%,9,https://www.padelfip.com/wp-content/uploads/2023/02/02-Josemaria-1-662x1024.png
Gemma Triay Pons,3,ESP,10108.0,Left,Claudia Fernandez Sanchez,28/06/1992,1.73,Mahón,--,86,69,17,12,80.2%,5,https://www.padelfip.com/wp-content/uploads/2023/02/03-Triay-662x1024.png
Claudia Fernandez Sanchez,4,ESP,8975.0,Right,Gemma Triay Pons,28/02/2006,1.64,Madrid,--,77,59,18,12,76.6%,4,https://www.padelfip.com/wp-content/uploads/2023/02/16-Fernandez-1-662x1024.png
Delfina Brea Senesi,5,ARG,8967.0,Right,Beatriz Gonzalez Fernandez,05/12/1999,1.7,Buenos Aires,--,73,60,13,19,82.2%,7,https://www.padelfip.com/wp-content/uploads/2023/02/05-Brea-1-662x1024.png
Beatriz Gonzalez Fernandez,6,ESP,7152.0,Left,Delfina Brea Senesi,23/11/2001,1.74,Málaga,--,60,51,9,19,85.0%,7,https://www.padelfip.com/wp-content/uploads/2023/02/04-Bea-5-662x1024.png
Marta Ortega Gallego,7,ESP,6249.0,Right,Sofia Araujo,14/02/1997,1.7,Madrid,--,78,58,20,8,74.4%,3,https://www.padelfip.com/wp-content/uploads/2023/02/06-Ortega-1-662x1024.png
Jessica Castello Lopez,8,ESP,5554.0,Left,Alejandra Salazar Bengoechea,29/10/1997,1.69,Villena,--,66,46,20,8,69.7%,1,https://www.padelfip.com/wp-content/uploads/2023/02/10-Castello-1-662x1024.png
Sofia Araujo,9,POR,5474.0,Left,Marta Ortega Gallego,30/11/1994,1.72,Lisboa,--,74,53,21,4,71.6%,2,https://www.padelfip.com/wp-content/uploads/2023/02/09-Araujo-2-662x1024.png
Lucia Sainz Pelegri,10,ESP,5192.0,Right,Patricia Llaguno Zielinski,05/10/1984,1.73,Barcelona,--,72,49,23,4,68.1%,0,https://www.padelfip.com/wp-content/uploads/2023/02/15-Sainz-1-662x1024.png
Patricia Llaguno Zielinski,11,ESP,5003.0,Left,Lucia Sainz Pelegri,25/02/1985,1.67,Cartagena,--,67,45,22,4,67.2%,0,https://www.padelfip.com/wp-content/uploads/2024/01/17-Llaguno-662x1024.png
Claudia Jensen Sirvent,12,ARG,4985.0,Right,Tamara Icardo Alcorisa,21/07/2005,1.58,Madrid,--,62,41,21,8,66.1%,1,https://www.padelfip.com/wp-content/uploads/2023/02/13-Jensen-1-662x1024.png
Alejandra Salazar Bengoechea,13,ESP,4861.0,Right,Jessica Castello Lopez,31/12/1985,1.68,Madrid,--,53,35,18,4,66.0%,0,https://www.padelfip.com/wp-content/uploads/2023/02/07-Salazar-662x1024.png
Andrea Ustero Prieto,14,ESP,4516.0,Right,Alejandra Alonso De Villa,12/05/2007,1.7,Barcelona,--,54,35,19,4,64.8%,0,https://www.padelfip.com/wp-content/uploads/2023/03/Ustero-Andrea-662x1024.png
Veronica Virseda,15,ESP,4441.0,Left,Aranzazu Osoro Ulrich,01/07/1992,1.7,Toledo,--,65,42,23,3,64.6%,0,https://www.padelfip.com/wp-content/uploads/2024/01/14-Virseda-662x1024.png
Aranzazu Osoro Ulrich,16,ARG,3538.0,Right,Veronica Virseda,03/06/1996,1.66,Parana,--,56,34,22,3,60.7%,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-Osoro-1-662x1024.png
María Virginia Riera,17,ARG,3529.0,Left,Carmen Goenaga Garcia,27/09/1988,1.65,Resistencia,--,56,35,21,4,62.5%,0,https://www.padelfip.com/wp-content/uploads/2023/02/11-Riera-1-662x1024.png
Tamara Icardo Alcorisa,18,ESP,3419.0,Right,Claudia Jensen Sirvent,10/10/1995,1.78,Valencia,--,35,23,12,3,65.7%,0,https://www.padelfip.com/wp-content/uploads/2023/02/08-Icardo-662x1024.png
Alejandra Alonso De Villa,19,ESP,3255.0,Left,Andrea Ustero Prieto,29/05/2006,1.69,Valladolid,--,46,29,17,4,63.0%,0,https://www.padelfip.com/wp-content/uploads/2023/03/Alonso-662x1024.png
Marina Guinart España,20,ESP,1988.0,Right,Victoria Iglesias Segador,30/06/1996,1.78,Castellar del Valles,--,42,20,22,2,47.6%,0,https://www.padelfip.com/wp-content/uploads/2023/02/26-Guinart-1-662x1024.png
