Nombre,Numero,Pais,Puntos,Posicion,Pareja,Anyo_nacimiento,Altura,Nacido en,Vive en,Partidos jugados,Partidos ganados,Partidos perdidos,Victorias Consecutivas,Efectividad,Titulos,Foto jugador
Arturo Coello,1,ESP,15457.0,Right,Agustin Tapia,08/03/2002,1.9,Valladolid,--,136,121,15,25,89.0%,15,https://www.padelfip.com/wp-content/uploads/2023/02/01-COELLO-662x1024.png
Agustin Tapia,2,ARG,15014.0,Left,Arturo Coello,24/07/1999,1.79,Catamarca,--,119,108,11,25,90.8%,14,https://www.padelfip.com/wp-content/uploads/2023/02/04-TAPIA-2-662x1024.png
Alejandro Galan,3,ESP,12493.0,Left,Federico Chingotto,15/05/1996,1.86,Madrid,Madrid,133,114,19,17,85.7%,11,https://www.padelfip.com/wp-content/uploads/2023/02/02-GALAN-662x1024.png
Federico Chingotto,4,ARG,10828.0,Right,Alejandro Galan,13/04/1997,1.7,Buenos aires,--,125,100,25,10,80.0%,5,https://www.padelfip.com/wp-content/uploads/2023/02/08-CHINGOTTO-662x1024.png
Juan Lebron,5,ESP,7548.0,Right,Martin Di Nenno,31/01/1995,1.84,Puerto de Santa María,Madrid,119,95,24,17,79.8%,7,https://www.padelfip.com/wp-content/uploads/2023/02/2-Lebron-662x1024.png
Martin Di Nenno,6,ARG,7535.0,Right,Juan Lebron,18/03/1997,1.75,Ezeiza,Madrid,118,91,27,9,77.1%,3,https://www.padelfip.com/wp-content/uploads/2023/02/05-DI-NENNO-662x1024.png
Franco Stupaczuk,7,ARG,7410.0,Left,Miguel Yanguas,25/03/1996,1.8,Chaco,--,120,93,27,11,77.5%,3,https://www.padelfip.com/wp-content/uploads/2023/02/06-STUPACZUK-3-662x1024.png
Francisco Navarro,8,ESP,5781.0,Left,Pablo Cardona,10/02/1989,1.81,Sevilla,--,111,81,30,9,73.0%,1,https://www.padelfip.com/wp-content/uploads/2023/02/Francisco-Navarro_2-1.png
Miguel Yanguas,9,ESP,5365.0,Right,Franco Stupaczuk,18/03/2002,1.89,Málaga,--,92,64,28,5,69.6%,0,https://www.padelfip.com/wp-content/uploads/2023/02/13-YANGUAS-662x1024.png
Javier Garrido,10,ESP,4526.0,Left,Lucas Bergamini,26/10/2000,1.84,Córdoba ,--,83,56,27,5,67.5%,0,https://www.padelfip.com/wp-content/uploads/2023/02/15-GARRIDO-2-662x1024.png
Jeronimo Gonzalez,11,ESP,4113.0,Left,Eduardo Alonso,21/02/1997,1.8,Antequera,--,95,63,32,4,66.3%,0,https://www.padelfip.com/wp-content/uploads/2023/02/14-GONZALEZ-1-662x1024.png
Jorge Nieto,12,ESP,3886.0,Left,Jon Sanz,18/12/1998,1.75,Madrid,--,89,60,29,5,67.4%,1,https://www.padelfip.com/wp-content/uploads/2023/02/17-NIETTO-662x1024.png
Jon Sanz,13,ESP,3804.0,Right,Jorge Nieto,25/09/2000,1.75,Pamplona,--,89,60,29,5,67.4%,1,https://www.padelfip.com/wp-content/uploads/2023/02/22-SANZ-662x1024.png
Eduardo Alonso,14,ESP,3192.0,Right,Jeronimo Gonzalez,08/01/2001,1.8,Valencia,--,70,39,31,3,55.7%,0,https://www.padelfip.com/wp-content/uploads/2023/02/31-Eduardo-Alonso-1-662x1024.png
Carlos Daniel Gutierrez,15,ARG,2941.0,Right,Jose Antonio Diestro,15/06/1984,1.77,San Luis,--,70,41,29,5,58.6%,0,https://www.padelfip.com/wp-content/uploads/2023/02/11-GUTIERREZ-662x1024.png
Fernando Belasteguin,16,ARG,2853.0,Left,Valentino Gabriel Libaak,19/05/1979,1.8,Pehuajo,--,84,55,29,9,65.5%,1,https://www.padelfip.com/wp-content/uploads/2023/02/09-BELASTEGUIN-662x1024.png
Alejandro Ruiz,17,ESP,2822.0,Right,Alejandro Arroyo,12/06/1994,1.87,Málaga,--,83,53,30,4,63.9%,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-RUIZ-662x1024.png
Lucas Bergamini,18,BRA,2733.0,Right,Javier Garrido,18/08/1997,1.65,Bento Gonçalves,--,82,51,31,4,62.2%,0,https://www.padelfip.com/wp-content/uploads/2023/02/19-BERGAMINI-3-662x1024.png
Pablo Cardona,19,ESP,2574.0,Right,Francisco Navarro,03/11/2004,1.88,Mérida,--,72,41,31,3,56.9%,0,https://www.padelfip.com/wp-content/uploads/2023/02/38-Pablo-Cardona-662x1024.png
Juan Tello,20,ARG,2549.0,Left,Inigo Jofre,01/02/1995,1.85,Córdoba ,--,77,46,31,4,59.7%,0,https://www.padelfip.com/wp-content/uploads/2023/02/10-TELLO-662x1024.png
